Date,Open,High,Low,Close,Volume
2023-01-01,150.00,155.00,149.00,154.00,1000000
2023-01-02,154.00,156.00,153.00,155.50,1100000
2023-01-03,155.50,158.00,154.00,157.00,1200000
2023-01-04,157.00,160.00,156.00,159.00,1300000
2023-01-05,159.00,161.00,158.00,160.50,1400000
2023-01-06,160.50,162.00,159.00,161.00,1500000
2023-01-07,161.00,164.00,160.00,163.50,1600000
2023-01-08,163.50,165.00,162.00,164.00,1700000
2023-01-09,164.00,166.00,163.00,165.50,1800000
2023-01-10,165.50,168.00,164.00,167.00,1900000
2023-01-11,167.00,170.00,166.00,169.00,2000000
2023-01-12,169.00,172.00,168.00,171.50,2100000
2023-01-13,171.50,173.00,170.00,172.00,2200000
2023-01-14,172.00,175.00,171.00,174.00,2300000
2023-01-15,174.00,176.00,173.00,175.50,2400000
2023-01-16,175.50,178.00,174.00,177.00,2500000
2023-01-17,177.00,179.00,176.00,178.50,2600000
2023-01-18,178.50,180.00,177.00,179.00,2700000
2023-01-19,179.00,182.00,178.00,181.00,2800000
2023-01-20,181.00,183.00,180.00,182.50,2900000
